Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,"while (connection1.getDispatchQueue().poll(0, TimeUnit.MILLISECONDS) != null) {","while (connection1.getDispatchQueue().poll(0,TimeUnit.MILLISECONDS) != null) {
}
",0,12,6,192,"SimpleName(MethodInvocation-expression, MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
QualifiedName(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, WhileStatement-expression, ),
"
2,while (System.nanoTime() - deadline < 0) {,"while (System.nanoTime() - deadline < 0) {
}
",0,5,4,,"SimpleName(MethodInvocation-expression, InfixExpression-leftOperand, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(InfixExpression-rightOperand, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, WhileStatement-expression, ),
"
3,while(taskTags.remove(contextTag)) {};,"while (taskTags.remove(contextTag)) {
}
",0,0,4,,"SimpleName(MethodInvocation-expression, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, WhileStatement-expression, ),
SimpleName(MethodInvocation-arguments, WhileStatement-expression, ),
Block(WhileStatement-body, ),
"
4,while (context.getInflightRepository().size() > 0) {,"while (context.getInflightRepository().size() > 0) {
}
",0,0,4,,"SimpleName(MethodInvocation-expression, MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, WhileStatement-expression, ),
"
5,while (0 <= (x = archive.read(buf))) {,"while (0 <= (x=archive.read(buf))) {
}
",0,0,5,,"NumberLiteral(InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(Assignment-leftHandSide, ParenthesizedExpression-expression, InfixExpression-rightOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-expression, Assignment-rightHandSide, ParenthesizedExpression-expression, InfixExpression-rightOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, Assignment-rightHandSide, ParenthesizedExpression-expression, InfixExpression-rightOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-arguments, Assignment-rightHandSide, ParenthesizedExpression-expression, InfixExpression-rightOperand, WhileStatement-expression, ),
"
6,"while (br.read(buff, 0, 3) != -1) {","while (br.read(buff,0,3) != -1) {
}
",0,27,6,,"SimpleName(MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(PrefixExpression-operand, InfixExpression-rightOperand, WhileStatement-expression, ),
"
7,"while (this.buffer.read(tmp, 0, tmp.length) >= 0) {","while (this.buffer.read(tmp,0,tmp.length) >= 0) {
}
",0,2,7,,"ThisExpression(FieldAccess-expression, MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(FieldAccess-name, MethodInvocation-expression, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
QualifiedName(MethodInvocation-arguments, InfixExpression-leftOperand, WhileStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, WhileStatement-expression, ),
"
8,while (!tarFile.getNextEntry().equals(entry)) {,"while (!tarFile.getNextEntry().equals(entry)) {
}
",0,0,4,,"SimpleName(MethodInvocation-expression, MethodInvocation-expression, PrefixExpression-operand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, PrefixExpression-operand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, PrefixExpression-operand, WhileStatement-expression, ),
SimpleName(MethodInvocation-arguments, PrefixExpression-operand, WhileStatement-expression, ),
"
9,while (depth != getDepth() || super.next() != XMLStreamConstants.END_ELEMENT) {,"while (depth != getDepth() || super.next() != XMLStreamConstants.END_ELEMENT) {
}
",0,0,4,,"SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, InfixExpression-leftOperand, WhileStatement-expression, ),
SimpleName(SuperMethodInvocation-name, InfixExpression-leftOperand, InfixExpression-rightOperand, WhileStatement-expression, ),
QualifiedName(InfixExpression-rightOperand, InfixExpression-rightOperand, WhileStatement-expression, ),
"
10,"while (!checkpointBackUpExecutor.awaitTermination(1, TimeUnit.SECONDS)) {}","while (!checkpointBackUpExecutor.awaitTermination(1,TimeUnit.SECONDS)) {
}
",0,2,5,,"SimpleName(MethodInvocation-expression, PrefixExpression-operand, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, PrefixExpression-operand, WhileStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, PrefixExpression-operand, WhileStatement-expression, ),
QualifiedName(MethodInvocation-arguments, PrefixExpression-operand, WhileStatement-expression, ),
Block(WhileStatement-body, ),
"
